Result,match_number,total_score,total_wickets_player_out,team,opponent,gender,season,month,day,home_advantage,venue,city,toss_winner,winner,toss_decision,choose_to_bat,choose_to_field,forced_to_bat,forced_to_field,Result_num,avg_win_rate,avg_score,avg_wickets_out,last_match_result
win,19.0,169,6,Northern Superchargers,Birmingham Phoenix,male,2022,8,19,no,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Northern Superchargers,bat,no,no,yes,no,1,0.36363636363636365,151.9090909090909,6.0,loose
win,12.0,142,4,Trent Rockets,London Spirit,female,2022,8,20,yes,"Trent Bridge, Nottingham",Nottingham,London Spirit,Trent Rockets,bat,no,no,yes,no,1,0.4,127.4,6.6,loose
loose,20.0,122,10,London Spirit,Trent Rockets,male,2022,8,20,no,"Trent Bridge, Nottingham",Nottingham,Trent Rockets,Trent Rockets,bat,no,no,yes,no,0,0.45454545454545453,149.0,5.454545454545454,win
loose,13.0,160,3,Manchester Originals,Northern Superchargers,female,2022,8,21,no,"Headingley, Leeds",Leeds,Manchester Originals,Northern Superchargers,bat,yes,no,no,no,0,0.4,127.7,5.6,loose
win,21.0,208,5,Manchester Originals,Northern Superchargers,male,2022,8,21,no,"Headingley, Leeds",Leeds,Northern Superchargers,Manchester Originals,bat,no,no,yes,no,1,0.36363636363636365,155.0909090909091,6.181818181818182,win
win,14.0,122,8,Southern Brave,Welsh Fire,female,2022,8,22,no,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Southern Brave,bat,no,no,yes,no,1,0.8333333333333334,126.75,5.416666666666667,win
loose,22.0,129,8,Welsh Fire,Southern Brave,male,2022,8,22,yes,"Sophia Gardens, Cardiff",Cardiff,Southern Brave,Southern Brave,bat,no,no,yes,no,0,0.25,148.58333333333334,6.0,loose
loose,15.0,106,7,Birmingham Phoenix,Oval Invincibles,female,2022,8,23,no,"Kennington Oval, London",London,Oval Invincibles,Oval Invincibles,bat,no,no,yes,no,0,0.5833333333333334,133.16666666666666,6.5,win
win,23.0,166,6,Birmingham Phoenix,Oval Invincibles,male,2022,8,23,no,"Kennington Oval, London",London,Oval Invincibles,Birmingham Phoenix,bat,no,no,yes,no,1,0.6428571428571429,151.57142857142858,5.857142857142857,loose
loose,16.0,119,9,Welsh Fire,London Spirit,female,2022,8,24,no,"Lord's, London",London,Welsh Fire,London Spirit,bat,yes,no,no,no,0,0.18181818181818182,127.36363636363636,6.636363636363637,loose
win,24.0,156,6,London Spirit,Welsh Fire,male,2022,8,24,yes,"Lord's, London",London,Welsh Fire,London Spirit,bat,no,no,yes,no,1,0.4166666666666667,146.75,5.833333333333333,loose
loose,17.0,88,8,Trent Rockets,Southern Brave,female,2022,8,25,no,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,bat,no,no,yes,no,0,0.45454545454545453,128.72727272727272,6.363636363636363,win
loose,25.0,138,6,Trent Rockets,Southern Brave,male,2022,8,25,no,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,bat,no,no,yes,no,0,0.6666666666666666,141.2,6.933333333333334,win
win,18.0,123,6,Welsh Fire,Northern Superchargers,female,2022,8,26,yes,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Welsh Fire,bat,yes,no,no,no,1,0.16666666666666666,126.66666666666667,6.833333333333333,loose
loose,26.0,114,4,Welsh Fire,Northern Superchargers,male,2022,8,26,yes,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Northern Superchargers,bat,yes,no,no,no,0,0.21428571428571427,147.71428571428572,6.142857142857143,loose
loose,19.0,80,10,London Spirit,Oval Invincibles,female,2022,8,27,yes,"Lord's, London",London,Oval Invincibles,Oval Invincibles,bat,no,no,yes,no,0,0.4166666666666667,124.83333333333333,6.333333333333333,win
loose,27.0,122,7,London Spirit,Oval Invincibles,male,2022,8,27,yes,"Lord's, London",London,London Spirit,Oval Invincibles,bat,yes,no,no,no,0,0.46153846153846156,147.46153846153845,5.846153846153846,win
win,20.0,122,6,Manchester Originals,Birmingham Phoenix,female,2022,8,28,no,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Manchester Originals,bat,no,no,yes,no,1,0.36363636363636365,130.63636363636363,5.363636363636363,loose
win,28.0,154,6,Manchester Originals,Birmingham Phoenix,male,2022,8,28,no,"Edgbaston, Birmingham",Birmingham,Manchester Originals,Manchester Originals,bat,yes,no,no,no,1,0.4166666666666667,159.5,6.083333333333333,win
loose,21.0,100,8,Welsh Fire,Trent Rockets,female,2022,8,29,no,"Trent Bridge, Nottingham",Nottingham,Welsh Fire,Trent Rockets,bat,yes,no,no,no,0,0.23076923076923078,126.38461538461539,6.769230769230769,win
win,29.0,172,4,Trent Rockets,Welsh Fire,male,2022,8,29,yes,"Trent Bridge, Nottingham",Nottingham,Welsh Fire,Trent Rockets,bat,no,no,yes,no,1,0.625,141.0,6.875,loose
loose,22.0,82,10,Birmingham Phoenix,London Spirit,female,2022,8,30,no,"Lord's, London",London,London Spirit,London Spirit,bat,no,no,yes,no,0,0.5,130.42857142857142,6.5,loose
loose,30.0,139,6,London Spirit,Birmingham Phoenix,male,2022,8,30,yes,"Lord's, London",London,Birmingham Phoenix,Birmingham Phoenix,bat,no,no,yes,no,0,0.42857142857142855,145.64285714285714,5.928571428571429,loose
win,23.0,145,6,Northern Superchargers,Southern Brave,female,2022,8,31,yes,"Headingley, Leeds",Leeds,Southern Brave,Northern Superchargers,bat,no,no,yes,no,1,0.4166666666666667,130.75,5.166666666666667,loose
win,24.0,163,2,Oval Invincibles,Manchester Originals,female,2022,8,31,no,"Old Trafford, Manchester",Manchester,Oval Invincibles,Oval Invincibles,bat,yes,no,no,no,1,0.7142857142857143,118.85714285714286,7.071428571428571,win
win,31.0,135,8,Northern Superchargers,Southern Brave,male,2022,8,31,yes,"Headingley, Leeds",Leeds,Southern Brave,Northern Superchargers,bat,no,no,yes,no,1,0.42857142857142855,154.42857142857142,5.785714285714286,win
loose,32.0,143,9,Oval Invincibles,Manchester Originals,male,2022,8,31,no,"Old Trafford, Manchester",Manchester,Oval Invincibles,Manchester Originals,bat,yes,no,no,no,0,0.5714285714285714,147.28571428571428,6.071428571428571,win
loose,40.0,150,7,London Spirit,Manchester Originals,male,2022,9,2,no,"The Rose Bowl, Southampton",Southampton,London Spirit,Manchester Originals,bat,yes,no,no,no,0,0.4,145.2,5.933333333333334,loose
win,40.0,134,6,Southern Brave,Trent Rockets,female,2022,9,2,yes,"The Rose Bowl, Southampton",Southampton,Trent Rockets,Southern Brave,bat,no,no,yes,no,1,0.8,125.06666666666666,5.8,loose
loose,50.0,120,9,Manchester Originals,Trent Rockets,male,2022,9,3,no,"Lord's, London",London,Manchester Originals,Trent Rockets,bat,yes,no,no,no,0,0.5333333333333333,157.4,6.333333333333333,win
loose,50.0,101,7,Southern Brave,Oval Invincibles,female,2022,9,3,no,"Lord's, London",London,Southern Brave,Oval Invincibles,bat,yes,no,no,no,0,0.8125,125.625,5.8125,win
